iso3,month,ndvi_mean
BLR,9,0.6809999942779541
BLR,10,0.6270999908447266
BLR,11,0.5440000295639038
BLR,12,0.4647000133991241
BLZ,1,0.7904000282287598
BLZ,2,0.8004000186920166
BLZ,3,0.7495999932289124
BLZ,4,0.6973999738693237
BLZ,5,0.7067999839782715
BLZ,6,0.7174999713897705
BLZ,7,0.754800021648407
BLZ,8,0.7824000120162964
BLZ,9,0.7986999750137329
BLZ,10,0.7936000227928162
BLZ,11,0.800000011920929
BLZ,12,0.7793999910354614
BOL,1,0.6413999795913696
BOL,2,0.6578999757766724
BOL,3,0.6629999876022339
BOL,4,0.6517000198364258
BOL,5,0.6298999786376953
BOL,6,0.5860000252723694
BOL,7,0.5407000184059143
BOL,8,0.5040000081062317
BOL,9,0.4778000116348266
BOL,10,0.5249000191688538
BOL,11,0.5928000211715698
BOL,12,0.6323999762535095
BRA,1,0.7448999881744385
BRA,2,0.75
BRA,3,0.7602999806404114
BRA,4,0.7574999928474426
BRA,5,0.7458000183105469
BRA,6,0.7085000276565552
BRA,7,0.6671000123023987
BRA,8,0.6284000277519226
BRA,9,0.5996999740600586
BRA,10,0.6309000253677368
BRA,11,0.6894000172615051
BRA,12,0.7285000085830688
BRN,1,0.7886999845504761
BRN,2,0.7910000085830688
BRN,3,0.7792999744415283
BRN,4,0.7950000166893005
BRN,5,0.7950000166893005
BRN,6,0.8046000003814697
BRN,7,0.809499979019165
BRN,8,0.8108999729156494
BRN,9,0.8097000122070312
BRN,10,0.7915999889373779
BRN,11,0.7860999703407288
BRN,12,0.7820000052452087
BTN,1,0.5978000164031982
BTN,2,0.5357999801635742
BTN,3,0.5370000004768372
BTN,4,0.569100022315979
BTN,5,0.6413999795913696
BTN,6,0.6966000199317932
BTN,7,0.7105000019073486
BTN,8,0.7426999807357788
BTN,9,0.7527999877929688
BTN,10,0.7095000147819519
BTN,11,0.6744999885559082
BTN,12,0.6432999968528748
BWA,1,0.4137000143527984
BWA,2,0.4142000079154968
BWA,3,0.3610999882221222
BWA,4,0.3684999942779541
BWA,5,0.3422000110149383
BWA,6,0.2919999957084656
BWA,7,0.2569999992847442
BWA,8,0.2340999990701675
BWA,9,0.2247000038623809
BWA,10,0.2179999947547912
BWA,11,0.2278999984264373
BWA,12,0.3149000108242035
CAF,1,0.5561000108718872
CAF,2,0.4936000108718872
CAF,3,0.5649999976158142
CAF,4,0.6535999774932861
CAF,5,0.6866000294685364
CAF,6,0.7605999708175659
CAF,7,0.7979000210762024
CAF,8,0.7960000038146973
CAF,9,0.8062000274658203
CAF,10,0.7940999865531921
CAF,11,0.7451000213623047
CAF,12,0.6376000046730042
CAN,1,0.0408999994397163
CAN,2,0.0593000017106533
CAN,3,0.0667999982833862
CAN,4,0.1411000043153762
CAN,5,0.2987000048160553
CAN,6,0.454800009727478
CAN,7,0.5353000164031982
CAN,8,0.5400999784469604
CAN,9,0.4787999987602234
CAN,10,0.373199999332428
CAN,11,0.1965000033378601
CAN,12,0.1221000030636787
CHE,1,0.3019999861717224
CHE,2,0.3589999973773956
CHE,3,0.3738000094890594
CHE,4,0.4343000054359436
CHE,5,0.5676000118255615
CHE,6,0.6413999795913696
CHE,7,0.6725000143051147
CHE,8,0.6783000230789185
CHE,9,0.6819999814033508
CHE,10,0.618399977684021
CHE,11,0.5611000061035156
CHE,12,0.4225000143051147
CHL,1,0.42739999294281
CHL,2,0.438400000333786
CHL,3,0.4368999898433685
CHL,4,0.4320999979972839
CHL,5,0.3889000117778778
CHL,6,0.3468999862670898
CHL,7,0.320499986410141
CHL,8,0.3705999851226806
CHL,9,0.3792999982833862
CHL,10,0.4178000092506408
CHL,11,0.435699999332428
CHL,12,0.4431999921798706
CHN,1,0.2250999957323074
CHN,2,0.223700001835823
CHN,3,0.2434999942779541
CHN,4,0.2998000085353851
CHN,5,0.3700999915599823
CHN,6,0.430400013923645
CHN,7,0.4930000007152557
CHN,8,0.5091000199317932
CHN,9,0.4762000143527984
CHN,10,0.3747000098228454
CHN,11,0.3005000054836273
CHN,12,0.266400009393692
CIV,1,0.5598999857902527
CIV,2,0.5034000277519226
CIV,3,0.6028000116348267
CIV,4,0.6643999814987183
CIV,5,0.7005000114440918
CIV,6,0.717199981212616
CIV,7,0.7394000291824341
CIV,8,0.7560999989509583
CIV,9,0.7700999975204468
CIV,10,0.7674000263214111
CIV,11,0.7163000106811523
CIV,12,0.6136000156402588
CMR,1,0.573199987411499
CMR,2,0.5110999941825867
CMR,3,0.5888000130653381
CMR,4,0.6568999886512756
CMR,5,0.6935999989509583
CMR,6,0.7484999895095825
CMR,7,0.7487000226974487
CMR,8,0.7572000026702881
CMR,9,0.7678999900817871
CMR,10,0.7651000022888184
CMR,11,0.728600025177002
CMR,12,0.6323000192642212
COD,1,0.7202000021934509
COD,2,0.73089998960495
COD,3,0.7608000040054321
COD,4,0.7807000279426575
COD,5,0.7541999816894531
COD,6,0.7087000012397766
COD,7,0.6528000235557556
COD,8,0.6572999954223633
COD,9,0.7110000252723694
COD,10,0.751800000667572
COD,11,0.7878000140190125
COD,12,0.7749999761581421
COG,1,0.6868000030517578
COG,2,0.6615999937057495
COG,3,0.7450000047683716
COG,4,0.7741000056266785
COG,5,0.7580000162124634
COG,6,0.7037000060081482
COG,7,0.6348999738693237
COG,8,0.6319000124931335
COG,9,0.7235000133514404
COG,10,0.7548999786376953
COG,11,0.7718999981880188
COG,12,0.7311999797821045
COL,1,0.7580000162124634
COL,2,0.7286999821662903
COL,3,0.7265999913215637
COL,4,0.7379000186920166
COL,5,0.765999972820282
COL,6,0.7753000259399414
COL,7,0.7702999711036682
COL,8,0.7706999778747559
COL,9,0.7685999870300293
COL,10,0.7717000246047974
COL,11,0.7742999792098999
COL,12,0.7633000016212463
CRI,1,0.7950999736785889
CRI,2,0.7645999789237976
CRI,3,0.7245000004768372
CRI,4,0.7138000130653381
CRI,5,0.7649999856948853
CRI,6,0.809499979019165
CRI,7,0.8061000108718872
CRI,8,0.8069000244140625
CRI,9,0.8082000017166138
CRI,10,0.8187000155448914
CRI,11,0.8068000078201294
CRI,12,0.7979000210762024
CUB,1,0.7239999771118164
CUB,2,0.6872000098228455
CUB,3,0.6377000212669373
CUB,4,0.6053000092506409
CUB,5,0.6412000060081482
CUB,6,0.7249000072479248
CUB,7,0.7554000020027161
CUB,8,0.7487999796867371
CUB,9,0.7781000137329102
CUB,10,0.7864999771118164
CUB,11,0.7809000015258789
CUB,12,0.753000020980835
CYP,1,0.5490000247955322
CYP,2,0.5997999906539917
CYP,3,0.5550000071525574
CYP,4,0.461899995803833
CYP,5,0.3709999918937683
CYP,6,0.3181000053882599
CYP,7,0.3158999979496002
CYP,8,0.3122000098228454
CYP,9,0.3221000134944916
CYP,10,0.3346999883651733
CYP,11,0.359499990940094
CYP,12,0.4808999896049499
CZE,1,0.4810999929904938
CZE,2,0.5095999836921692
CZE,3,0.5570999979972839
CZE,4,0.6399000287055969
CZE,5,0.7396000027656555
CZE,6,0.7494000196456909
CZE,7,0.6841999888420105
CZE,8,0.6557999849319458
CZE,9,0.6378999948501587
CZE,10,0.6481000185012817
CZE,11,0.6105999946594238
CZE,12,0.5723000168800354
DEU,1,0.5382999777793884
DEU,2,0.5464000105857849
DEU,3,0.5722000002861023
DEU,4,0.6499000191688538
DEU,5,0.7231000065803528
DEU,6,0.7343000173568726
DEU,7,0.7041000127792358
DEU,8,0.6822999715805054
DEU,9,0.6660000085830688
DEU,10,0.6686999797821045
DEU,11,0.6396999955177307
DEU,12,0.5996000170707703
DJI,1,0.1240999996662139
DJI,2,0.119499996304512
DJI,3,0.1129999980330467
DJI,4,0.1509000062942505
DJI,5,0.1539999991655349
DJI,6,0.1207000017166137
DJI,7,0.1084999963641166
DJI,8,0.1422999948263168
DJI,9,0.1599999964237213
DJI,10,0.1587000042200088
DJI,11,0.1544999927282333
DJI,12,0.1410000026226043
DNK,1,0.2221000045537948
DNK,2,0.5210999846458435
DNK,3,0.5160999894142151
DNK,4,0.5882999897003174
DNK,5,0.6809999942779541
DNK,6,0.751800000667572
DNK,7,0.7164999842643738
DNK,8,0.6480000019073486
DNK,9,0.6353999972343445
DNK,10,0.6481999754905701
DNK,11,0.5827000141143799
DNK,12,0.5270000100135803
DOM,1,0.7364000082015991
DOM,2,0.7042999863624573
DOM,3,0.6588000059127808
DOM,4,0.6622999906539917
DOM,5,0.7289999723434448
DOM,6,0.7390000224113464
DOM,7,0.7253000140190125
DOM,8,0.720300018787384
DOM,9,0.7348999977111816
DOM,10,0.7490000128746033
DOM,11,0.7699000239372253
DOM,12,0.7615000009536743
DZA,1,0.1178999990224838
DZA,2,0.122699998319149
DZA,3,0.1256999969482422
DZA,4,0.123999997973442
DZA,5,0.1208000034093856
DZA,6,0.1137000024318695
DZA,7,0.1106000021100044
DZA,8,0.1107999980449676
DZA,9,0.1098000034689903
DZA,10,0.1137999966740608
DZA,11,0.1159999966621398
DZA,12,0.1185000017285347
ECU,1,0.7728000283241272
ECU,2,0.7735000252723694
ECU,3,0.7771999835968018
ECU,4,0.7785000205039978
ECU,5,0.7684999704360962
ECU,6,0.7692000269889832
ECU,7,0.7533000111579895
ECU,8,0.7455999851226807
ECU,9,0.732699990272522
ECU,10,0.7247999906539917
ECU,11,0.7146999835968018
ECU,12,0.7174999713897705
EGY,1,0.1215000003576278
EGY,2,0.1257999986410141
EGY,3,0.1243000030517578
EGY,4,0.1199000030755996
EGY,5,0.1134999990463256
EGY,6,0.1141000017523765
EGY,7,0.1189000010490417
EGY,8,0.1190000027418136
EGY,9,0.1136000007390976
EGY,10,0.1102999970316886
EGY,11,0.1127000004053115
EGY,12,0.1163000017404556
ERI,1,0.1826999932527542
ERI,2,0.1719000041484832
ERI,3,0.1613000035285949
ERI,4,0.1534000039100647
ERI,5,0.148399993777275
ERI,6,0.1521999984979629
ERI,7,0.2247000038623809
ERI,8,0.3183999955654144
ERI,9,0.3544999957084656
ERI,10,0.2764999866485595
ERI,11,0.24719999730587
ERI,12,0.229200005531311
ESH,1,0.0912000015377998
ESH,2,0.0866999998688697
ESH,3,0.0890000015497207
ESH,4,0.0843999981880188
ESH,5,0.0881000012159347
